2021;Sunrise;Noon;Sunset;Length;Change;AT_east;NT_east;CT_east;CT_west;NT_west;AT_west
01.01.2021;9:00:29;12:34:13;16:07:58;7:07;+1:21;6:40:27;7:25:37;8:14:03;16:54:24;17:42:50;18:28:00
02.01.2021;9:00:12;12:34:41;16:09:10;7:08;+1:29;6:40:24;7:25:31;8:13:52;16:55:29;17:43:51;18:28:58
03.01.2021;8:59:51;12:35:08;16:10:25;7:10;+1:36;6:40:17;7:25:22;8:13:39;16:56:37;17:44:54;18:29:59
04.01.2021;8:59:26;12:35:35;16:11:44;7:12;+1:44;6:40:08;7:25:09;8:13:21;16:57:48;17:46:00;18:31:02
05.01.2021;8:58:57;12:36:01;16:13:06;7:14;+1:51;6:39:56;7:24:54;8:13:01;16:59:02;17:47:08;18:32:07
06.01.2021;8:58:24;12:36:27;16:14:31;7:16;+1:58;6:39:40;7:24:36;8:12:36;17:00:18;17:48:19;18:33:14
07.01.2021;8:57:47;12:36:53;16:15:59;7:18;+2:05;6:39:22;7:24:14;8:12:09;17:01:37;17:49:32;18:34:24
08.01.2021;8:57:07;12:37:18;16:17:30;7:20;+2:11;6:39:01;7:23:49;8:11:38;17:02:59;17:50:47;18:35:36
09.01.2021;8:56:23;12:37:43;16:19:04;7:22;+2:18;6:38:37;7:23:21;8:11:03;17:04:23;17:52:05;18:36:49
10.01.2021;8:55:35;12:38:07;16:20:40;7:25;+2:25;6:38:09;7:22:50;8:10:25;17:05:49;17:53:25;18:38:05
11.01.2021;8:54:43;12:38:31;16:22:19;7:27;+2:30;6:37:39;7:22:16;8:09:44;17:07:18;17:54:46;18:39:23
12.01.2021;8:53:48;12:38:54;16:24:01;7:30;+2:37;6:37:06;7:21:39;8:09:00;17:08:49;17:56:10;18:40:43
13.01.2021;8:52:50;12:39:17;16:25:45;7:32;+2:43;6:36:30;7:20:59;8:08:12;17:10:22;17:57:36;18:42:04
14.01.2021;8:51:48;12:39:39;16:27:31;7:35;+2:48;6:35:51;7:20:16;8:07:22;17:11:57;17:59:03;18:43:28
15.01.2021;8:50:42;12:40:01;16:29:19;7:38;+2:53;6:35:09;7:19:29;8:06:28;17:13:34;18:00:32;18:44:53
16.01.2021;8:49:34;12:40:22;16:31:10;7:41;+2:59;6:34:24;7:18:40;8:05:31;17:15:13;18:02:04;18:46:19
17.01.2021;8:48:22;12:40:42;16:33:02;7:44;+3:04;6:33:37;7:17:48;8:04:31;17:16:53;18:03:36;18:47:48
18.01.2021;8:47:08;12:41:02;16:34:56;7:47;+3:09;6:32:46;7:16:53;8:03:28;17:18:36;18:05:11;18:49:18
19.01.2021;8:45:50;12:41:21;16:36:52;7:51;+3:14;6:31:53;7:15:55;8:02:22;17:20:20;18:06:46;18:50:49
20.01.2021;8:44:29;12:41:39;16:38:50;7:54;+3:18;6:30:57;7:14:55;8:01:13;17:22:05;18:08:24;18:52:22
21.01.2021;8:43:05;12:41:57;16:40:49;7:57;+3:23;6:29:58;7:13:51;8:00:02;17:23:52;18:10:03;18:53:56
22.01.2021;8:41:39;12:42:14;16:42:49;8:01;+3:27;6:28:56;7:12:45;7:58:47;17:25:41;18:11:43;18:55:32
23.01.2021;8:40:09;12:42:30;16:44:51;8:04;+3:31;6:27:51;7:11:36;7:57:30;17:27:30;18:13:24;18:57:09
24.01.2021;8:38:38;12:42:46;16:46:54;8:08;+3:35;6:26:44;7:10:25;7:56:10;17:29:21;18:15:07;18:58:48
25.01.2021;8:37:03;12:43:00;16:48:58;8:11;+3:38;6:25:34;7:09:10;7:54:48;17:31:13;18:16:51;19:00:27
26.01.2021;8:35:26;12:43:14;16:51:03;8:15;+3:42;6:24:21;7:07:53;7:53:23;17:33:06;18:18:36;19:02:08
27.01.2021;8:33:46;12:43:28;16:53:09;8:19;+3:46;6:23:05;7:06:34;7:51:55;17:35:00;18:20:21;19:03:50
28.01.2021;8:32:04;12:43:40;16:55:16;8:23;+3:49;6:21:47;7:05:12;7:50:25;17:36:55;18:22:08;19:05:33
29.01.2021;8:30:20;12:43:52;16:57:23;8:27;+3:52;6:20:27;7:03:47;7:48:53;17:38:51;18:23:56;19:07:17
30.01.2021;8:28:34;12:44:03;16:59:31;8:30;+3:54;6:19:03;7:02:20;7:47:18;17:40:47;18:25:45;19:09:02
31.01.2021;8:26:45;12:44:13;17:01:40;8:34;+3:58;6:17:37;7:00:50;7:45:40;17:42:45;18:27:35;19:10:48
01.02.2021;8:24:54;12:44:22;17:03:50;8:38;+4:00;6:16:09;6:59:18;7:44:01;17:44:43;18:29:25;19:12:35
02.02.2021;8:23:01;12:44:30;17:06:00;8:42;+4:03;6:14:38;6:57:44;7:42:19;17:46:42;18:31:17;19:14:23
03.02.2021;8:21:06;12:44:38;17:08:10;8:47;+4:05;6:13:04;6:56:07;7:40:35;17:48:41;18:33:08;19:16:11
04.02.2021;8:19:09;12:44:45;17:10:20;8:51;+4:08;6:11:28;6:54:28;7:38:49;17:50:40;18:35:01;19:18:01
